"Head","SRD","Count","Comm_freq"
25,-1,2820785,0.106978376586659
25,0,3870337,0.146595244806848
25,1,2820785,0.114676942765932
25,2,1286583,0.0636670933783518
25,3,503691,0.0450554010295995
25,4,300888,0.0420555156736061
25,5,222940,0.0305239077778775
25,6,146513,0.0195887054391078
25,7,62505,0.0060475161987041
25,8,16995,0.000470726684318917
25,9,3380,NA
25,10,535,NA
25,11,37,NA
26,-7,4,NA
26,-6,86,0.0116279069767442
26,-5,992,0.00705645161290323
26,-4,8583,0.0216707444949318
26,-3,53288,0.0446066656658159
26,-2,241066,0.0796130520272456
26,-1,816884,0.112696539533153
26,0,1662770,0.133192203371483
26,1,816884,0.150557484293976
26,2,241066,0.154177694075481
26,3,53288,0.203741930641045
26,4,8583,0.534312012116975
26,5,992,0.706653225806452
26,6,86,1.65116279069767
26,7,4,NA
27,-7,15,NA
27,-6,137,NA
27,-5,1029,0.00388726919339164
27,-4,10792,0.0173276501111935
27,-3,25263,0.0250168230218106
27,-2,154703,0.0465537190616859
27,-1,417900,0.106255084948552
27,0,608226,0.216771397473965
27,1,417900,0.145139985642498
27,2,154703,0.0883951830281249
27,3,25263,0.113050706566916
27,4,10792,0.0358598962194218
27,5,1029,0.010689990281827
27,6,137,NA
27,7,15,NA
28,-7,21,NA
28,-6,526,NA
28,-5,6206,0.000966806316467934
28,-4,47344,0.00608313619466036
28,-3,261284,0.0155884018921939
28,-2,1036966,0.0329827593190134
28,-1,2919602,0.0578181546662867
28,0,4603978,0.0984956922035684
28,1,2919602,0.0781757239514153
28,2,1036966,0.0607204093480403
28,3,261284,0.0562376571087399
28,4,47344,0.0848893207164583
28,5,6206,0.0235256203673864
28,6,526,NA
28,7,21,NA
29,-6,18,NA
29,-5,303,0.0231023102310231
29,-4,2820,0.0148936170212766
29,-3,17034,0.0480216038511213
29,-2,77272,0.132518894295476
29,-1,252405,0.221786414690676
29,0,516905,0.294918795523355
29,1,252405,0.270438382757869
29,2,77272,0.209066673568692
29,3,17034,0.209756956674886
29,4,2820,0.356028368794326
29,5,303,0.574257425742574
29,6,18,0.611111111111111
30,-6,36,NA
30,-5,628,NA
30,-4,6259,0.00223677903818501
30,-3,42150,0.00460260972716489
30,-2,184059,0.00994246410118495
30,-1,500894,0.0201918968883636
30,0,743117,0.0298459058264042
30,1,500894,0.0237195893741989
30,2,184059,0.0140389766324928
30,3,42150,0.00524317912218268
30,4,6259,0.00351493848857645
30,5,628,NA
30,6,36,NA
31,-7,45,NA
31,-6,526,NA
31,-5,4134,0.00217706821480406
31,-4,23495,0.005703341136412
31,-3,97768,0.0216533016938057
31,-2,281438,0.0602832595456193
31,-1,625963,0.133089335951166
31,0,847111,0.288414387252674
31,1,625963,0.159071702321064
31,2,281438,0.0812647901136307
31,3,97768,0.0437464200965551
31,4,23495,0.0400936369440306
31,5,4134,0.0297532656023222
31,6,526,NA
31,7,45,NA
32,-8,1,NA
32,-7,193,0.0155440414507772
32,-6,2288,0.00655594405594406
32,-5,19537,0.00235450683318831
32,-4,119887,0.00267752133258819
32,-3,460211,0.00756392176632023
32,-2,1130460,0.0282495621251526
32,-1,1857947,0.0977729719954337
32,0,2280728,0.143675177399497
32,1,1857947,0.113079651895345
32,2,1130460,0.0419245262990287
32,3,460211,0.020375436484569
32,4,119887,0.0260912359138188
32,5,19537,0.090290218559656
32,6,2288,0.325611888111888
32,7,193,0.880829015544041
32,8,1,NA
33,-7,46,NA
33,-6,456,NA
33,-5,3254,0.00522433927473878
33,-4,15041,0.0185492985838708
33,-3,50660,0.0376431109356494
33,-2,117771,0.0937157704358458
33,-1,200896,0.238616000318573
33,0,243852,0.553901546839886
33,1,200896,0.267616079961771
33,2,117771,0.148050029294139
33,3,50660,0.0828069482826688
33,4,15041,0.06189748022073
33,5,3254,0.0338045482483098
33,6,456,0.0087719298245614
33,7,46,NA
34,-6,13,NA
34,-5,234,NA
34,-4,2152,0.0274163568773234
34,-3,12803,0.0549090057017886
34,-2,48913,0.127859669208595
34,-1,114217,0.270704010786485
34,0,154561,0.402255420190087
34,1,114217,0.304691946032552
34,2,48913,0.154089914746591
34,3,12803,0.107474810591268
34,4,2152,0.175650557620818
34,5,234,0.102564102564103
34,6,13,NA
35,-5,111,NA
35,-4,1419,0.0577871740662438
35,-3,7817,0.204810029423052
35,-2,20808,0.198577470203768
35,-1,44611,0.295846315931048
35,0,62068,0.805036411677515
35,1,44611,0.299410459303759
35,2,20808,0.210688196847366
35,3,7817,0.280286554944352
35,4,1419,0.0739957716701903
35,5,111,0.018018018018018
36,-6,2,NA
36,-5,83,0.0120481927710843
36,-4,687,0.0334788937409025
36,-3,3365,0.163744427934621
36,-2,9790,0.466189989785495
36,-1,15857,1.52872548401337
36,0,19956,1.8468630988174
36,1,15857,1.56214920855143
36,2,9790,0.55464759959142
36,3,3365,0.201783060921248
36,4,687,0.0829694323144105
36,5,83,0.0120481927710843
36,6,2,NA
37,-5,201,NA
37,-4,4498,0.00200088928412628
37,-3,14323,0.0173846261258116
37,-2,46921,0.0541974808721042
37,-1,42744,0.362319857757814
37,0,86227,0.512716434527468
37,1,42744,0.398278120905858
37,2,46921,0.0897679077598517
37,3,14323,0.0430077497730922
37,4,4498,0.0106714095153402
37,5,201,0.124378109452736
38,-8,61,NA
38,-7,544,NA
38,-6,3618,0.000829187396351575
38,-5,23089,0.00103945601801724
38,-4,139838,0.00640741429368269
38,-3,478285,0.00697910241801436
38,-2,1009014,0.0167777652242684
38,-1,3300970,0.0305643492670336
38,0,6001283,0.0818843237354413
38,1,3300970,0.0361914831095102
38,2,1009014,0.0305000723478564
38,3,478285,0.0285771036097724
38,4,139838,0.0542484875355769
38,5,23089,0.00268526137987786
38,6,3618,0.000829187396351575
38,7,544,NA
38,8,61,NA
39,-7,10,NA
39,-6,308,0.00324675324675325
39,-5,2323,0.000430477830391735
39,-4,15245,0.00997048212528698
39,-3,61604,0.0296409324069866
39,-2,214454,0.0646245814953323
39,-1,388943,0.162555952928835
39,0,513867,0.239688479703892
39,1,388943,0.186837145802855
39,2,214454,0.0884245572477081
39,3,61604,0.0701902473865333
39,4,15245,0.125614955723188
39,5,2323,0.205337925096857
39,6,308,0.00324675324675325
39,7,10,NA
40,-5,6,NA
40,-4,133,0.120300751879699
40,-3,1468,0.193460490463215
40,-2,11248,0.293296586059744
40,-1,28402,0.624427857193155
40,0,38590,0.706193314330137
40,1,28402,0.674565171466798
40,2,11248,0.42674253200569
40,3,1468,0.780653950953679
40,4,133,1.40601503759399
40,5,6,0.833333333333333
41,-10,24,NA
41,-9,811,NA
41,-8,7561,0.00171934929242164
41,-7,46797,0.00258563583135671
41,-6,183085,0.00509599366414507
41,-5,286217,0.0100657892438255
41,-4,535537,0.0112802663494772
41,-3,531177,0.0128036417239451
41,-2,704906,0.0242401114474838
41,-1,778374,0.0882788993465866
41,0,1087122,0.341164101177237
41,1,778374,0.104009126718004
41,2,704906,0.0377341092287483
41,3,531177,0.0330078297817865
41,4,535537,0.0132689244627355
41,5,286217,0.0134443446755434
41,6,183085,0.00703498375071688
41,7,46797,0.00147445349060837
41,8,7561,0.00145483401666446
41,9,811,0.00863131935881628
41,10,24,NA
42,-6,5,NA
42,-5,68,NA
42,-4,732,0.0177595628415301
42,-3,4616,0.0686741767764298
42,-2,21296,0.186185199098422
42,-1,65644,0.399579550301627
42,0,100434,0.627357269450584
42,1,65644,0.476083114983852
42,2,21296,0.25347483095417
42,3,4616,0.0972703639514731
42,4,732,0.0177595628415301
42,5,68,0.0147058823529412
42,6,5,NA
43,-5,123,NA
43,-4,2006,0.00498504486540379
43,-3,17024,0.0428218984962406
43,-2,136308,0.0699151920650292
43,-1,661421,0.115016003422933
43,0,1151797,0.282653106406771
43,1,661421,0.143285441496414
43,2,136308,0.104476626463597
43,3,17024,0.122121710526316
43,4,2006,0.440677966101695
43,5,123,NA
44,-11,69,NA
44,-10,1158,NA
44,-9,8775,0.000455840455840456
44,-8,46145,0.00205872792285188
44,-7,192433,0.00182401147412346
44,-6,574765,0.00443137630161892
44,-5,1107439,0.00410948142516202
44,-4,1313399,0.00876961228080727
44,-3,1145841,0.0164272355414058
44,-2,1321609,0.0503666364257508
44,-1,2077243,0.123093927864963
44,0,2629537,0.250501514144886
44,1,2077243,0.1515195862978
44,2,1321609,0.0635619158162512
44,3,1145841,0.0334217400145395
44,4,1313399,0.0179884406794889
44,5,1107439,0.0120440042295783
44,6,574765,0.0119909876210277
44,7,192433,0.004843244142117
44,8,46145,0.0016903239787626
44,9,8775,NA
44,10,1158,NA
44,11,69,NA
45,-11,2,NA
45,-10,126,NA
45,-9,1247,NA
45,-8,9737,0.00102701037280477
45,-7,65336,0.00518856373209257
45,-6,190508,0.0146135595355576
45,-5,311523,0.0233177004587141
45,-4,320685,0.0578106241327159
45,-3,399987,0.052271698830212
45,-2,979961,0.0587839720152128
45,-1,2028177,0.0976113031554938
45,0,2728846,0.247720831443035
45,1,2028177,0.115095477367113
45,2,979961,0.0688884557650764
45,3,399987,0.0465565130866753
45,4,320685,0.0365904236244289
45,5,311523,0.0185925276785342
45,6,190508,0.0127658681000273
45,7,65336,0.00384167993143137
45,8,9737,0.00143781452192667
45,9,1247,NA
45,10,126,NA
45,11,2,NA
46,-6,5,NA
46,-5,263,NA
46,-4,3246,0.00523721503388786
46,-3,22136,0.0516353451391399
46,-2,110005,0.0918321894459343
46,-1,345761,0.198136863324666
46,0,545152,0.370265540619864
46,1,345761,0.248321817671744
46,2,110005,0.127785100677242
46,3,22136,0.098075533068305
