"Head","RD","Count","Comm_freq"
36,9,6140,0.248534201954397
36,10,1958,0.171603677221655
36,11,72,NA
37,0,551,NA
37,1,1100,14.0536363636364
37,2,37164,0.967360886879776
37,3,6984,1.29481672394044
37,4,20016,0.521682653876898
37,5,35882,0.232567861323226
37,6,67026,0.0662578700802674
37,7,49530,0.0111851403189986
37,8,62726,0.00299716226126327
37,9,21040,NA
37,10,1582,NA
38,0,3989,NA
38,1,7976,11.6466900702106
38,2,137528,2.99031469955209
38,3,242674,0.239865004079547
38,4,1112130,0.0634143490419286
38,5,893102,0.0409113404739884
38,6,2083508,0.0160095377603542
38,7,3512714,0.00836048707637456
38,8,2806492,0.00704651928457305
38,9,1861196,0.00713304778217877
38,10,1373834,0.00745140970452034
38,11,860432,0.00823307361883333
38,12,778530,0.00315594774767832
38,13,224632,0.000365041490081556
38,14,10334,NA
38,15,3050,NA
39,0,1371,NA
39,1,2740,20.8270072992701
39,2,20312,3.73843048444269
39,3,19922,1.65003513703443
39,4,43696,0.749336323690956
39,5,87838,0.254775837336916
39,6,188140,0.148155628787073
39,7,298126,0.0595016872060806
39,8,445446,0.0408175177238094
39,9,440828,0.0268903064233669
39,10,271598,0.0121208550872981
39,11,56246,0.0108807737439107
39,12,3318,0.00994575045207957
39,13,60,NA
40,0,348,NA
40,1,694,27.8112391930836
40,2,8052,2.50248385494287
40,3,4322,2.45950948634891
40,4,12550,0.691633466135458
40,5,33878,0.162258692957081
40,6,33992,0.183190162391151
40,7,20066,0.140187381640586
40,8,6392,0.0775969962453066
40,9,792,0.111111111111111
40,10,18,0.0555555555555556
41,0,2690,NA
41,1,5378,11.0580141316475
41,2,100590,2.86131822248733
41,3,52554,0.798416866461164
41,4,184068,0.380538713953539
41,5,148612,0.166043118994428
41,6,425780,0.0539738832260792
41,7,562500,0.0284924444444444
41,8,667992,0.027831171630798
41,9,894268,0.0244702930217787
41,10,921114,0.0142045392861253
41,11,756310,0.0163332495934207
41,12,913736,0.0142743637111814
41,13,631106,0.00639829125376719
41,14,650744,0.00658784406771326
41,15,230620,0.00227647211863672
41,16,82538,0.00138118200101771
41,17,5404,NA
41,18,96,NA
42,0,534,NA
42,1,1066,20.2054409005629
42,2,5800,6.78534482758621
42,3,10188,1.64703572830781
42,4,23604,0.702677512286053
42,5,37572,0.167944213776216
42,6,66786,0.132482855688318
42,7,80420,0.147214623228053
42,8,45992,0.165115672290833
42,9,11400,0.156228070175439
42,10,1784,0.007847533632287
42,11,10,NA
43,0,1669,NA
43,1,3336,14.1753597122302
43,2,39630,5.60663638657583
43,3,50900,1.10104125736739
43,4,158310,0.443692754721748
43,5,342906,0.110980851895272
43,6,665258,0.0715767416551173
43,7,859798,0.0355885917389899
43,8,561094,0.0181342163701626
43,9,100196,0.0166373907142002
43,10,2464,NA
44,0,4267,NA
44,1,8532,20.5513361462729
44,2,129300,3.18327919566899
44,3,79614,2.14962192579195
44,4,220570,0.791644375935077
44,5,323824,0.295521641385444
44,6,616770,0.167932940966649
44,7,1084962,0.0735869090346021
44,8,1824768,0.0484971240179574
44,9,2358302,0.032702342617697
44,10,2160368,0.0152645290061693
44,11,1578930,0.0124996041623125
44,12,1558500,0.0139736926531922
44,13,2266706,0.00953718744292378
44,14,2144250,0.00936691150752011
44,15,1240498,0.00499638048590164
44,16,462822,0.00195107406303071
44,17,120300,0.000332502078137988
44,18,22074,9.06043308870164e-05
44,19,1932,NA
45,0,3368,NA
45,1,6734,12.5063855063855
45,2,110600,4.03198915009042
45,3,70554,1.17371091646115
45,4,228170,0.344164438795635
45,5,502076,0.183181430699735
45,6,768728,0.128140252469014
45,7,1356362,0.0808014379642013
