"Head","DRD","Count","Comm_freq"
22,9,234016,0.00714908382332832
22,10,118736,0.00145701387953106
22,11,269390,0.000879765395894428
22,12,55555,0.000180001800018
22,13,16231,0.00166348345758117
22,14,14524,6.88515560451666e-05
22,15,2507,NA
23,-13,200,NA
23,-12,1328,0.00602409638554217
23,-11,26188,0.0224148464945777
23,-10,118465,0.0205377115603765
23,-9,307387,0.0167443645957702
23,-8,78500,0.0282420382165605
23,-7,353373,0.0344395299018318
23,-6,68990,0.0405421075518191
23,-5,106684,0.101411645607589
23,-4,19940,0.129037111334002
23,-3,19246,1.14693962381794
23,-2,2173,1.87574781408191
23,-1,2180,12.3655963302752
23,0,2547453,NA
23,1,2180,16.7756880733945
23,2,2173,4.04970087436723
23,3,19246,1.53049984412345
23,4,19940,0.268304914744233
23,5,106684,0.168703835626711
23,6,68990,0.0563414987679374
23,7,353373,0.0430734662806723
23,8,78500,0.0338853503184713
23,9,307387,0.0217543357396377
23,10,118465,0.0255180855104883
23,11,26188,0.0420421567129983
23,12,1328,0.0421686746987952
23,13,200,0.01
24,-11,33594,0.000803714949098053
24,-10,52271,0.000229572803275239
24,-9,1048566,0.00786311972732284
24,-8,270807,0.008308500149553
24,-7,528668,0.0424898045654361
24,-6,125066,0.0447843538611613
24,-5,112211,0.237810909803852
24,-4,21389,0.311187993828604
24,-3,20156,1.22221670966462
24,-2,2634,2.29802581624905
24,-1,2645,12.8034026465028
24,0,2565302,NA
24,1,2645,17.5466918714556
24,2,2634,4.45026575550494
24,3,20156,1.7360091287954
24,4,21389,0.904156342044976
24,5,112211,0.37264617550864
24,6,125066,0.140197975468952
24,7,528668,0.0672804103898855
24,8,270807,0.0165505322979096
24,9,1048566,0.0116540112877969
24,10,52271,0.00105220868167818
24,11,33594,0.000922783830445913
25,-19,148,NA
25,-18,2140,0.0434579439252336
25,-17,18404,0.00896544229515323
25,-16,78624,0.00904304029304029
25,-15,147298,0.00232861274423278
25,-14,201335,0.00044701616708471
25,-13,197696,0.00212953221107154
25,-12,184508,0.00397814728900644
25,-11,737170,0.018242739123947
25,-10,503324,0.0250713258259094
25,-9,1551791,0.0503257204095139
25,-8,557378,0.0496234153482915
25,-7,755740,0.0716873527932887
25,-6,188477,0.0813574070045682
25,-5,171724,0.296615499289558
25,-4,31921,0.428933930641271
25,-3,29547,1.85301384235286
25,-2,3807,3.39952718676123
25,-1,3820,18.530890052356
25,0,3870337,NA
25,1,3820,20.198167539267
25,2,3807,4.02836879432624
25,3,29547,2.11503705959996
25,4,31921,0.605432160646596
25,5,171724,0.334991032121311
25,6,188477,0.10032523862328
25,7,755740,0.0767168602958689
25,8,557378,0.0437207783586722
25,9,1551791,0.0524381182775257
25,10,503324,0.0343675246958222
25,11,737170,0.0214482412469308
25,12,184508,0.00479112016823119
25,13,197696,0.00188673518938168
25,14,201335,0.0015297886606899
25,15,147298,0.00389007318497196
25,16,78624,0.0128586691086691
25,17,18404,0.00391219300152141
25,18,2140,0.00186915887850467
25,19,148,NA
26,-13,148,NA
26,-12,692,NA
26,-11,9173,NA
26,-10,40005,0.00782402199725034
26,-9,206938,0.0142941364080063
26,-8,83301,0.0218124632357355
26,-7,523780,0.0415537057543243
26,-6,105386,0.0547605943863511
26,-5,114490,0.174373307712464
26,-4,18388,0.302860561235588
26,-3,14664,1.33981178396072
26,-2,1963,3.01018848700968
26,-1,1975,15.2455696202532
26,0,1662770,NA
26,1,1975,21.8703797468354
26,2,1963,6.91390728476821
26,3,14664,2.0709219858156
26,4,18388,0.812432020883185
26,5,114490,0.274844964625731
26,6,105386,0.0968914277038696
26,7,523780,0.0492420481881706
26,8,83301,0.0317763292157357
26,9,206938,0.0179957281891194
26,10,40005,0.0131483564554431
26,11,9173,0.00010901558922926
26,12,692,NA
26,13,148,NA
27,-12,2175,NA
27,-11,5930,0.00657672849915683
27,-10,9212,0.0225792444637429
27,-9,76329,0.00471642494988799
27,-8,108996,0.0109361811442622
27,-7,273423,0.0278213610413169
27,-6,33162,0.0582594535914601
27,-5,70138,0.135547064358835
27,-4,10745,0.168264308980921
27,-3,17036,0.557818736792674
27,-2,1342,1.67585692995529
27,-1,1351,13.3412287194671
27,0,608226,NA
27,1,1351,17.6957809030348
27,2,1342,3.86959761549925
27,3,17036,0.87373796665884
27,4,10745,0.363238715681712
27,5,70138,0.204810516410505
27,6,33162,0.086243290513238
27,7,273423,0.0359662500960051
27,8,108996,0.0170281478219384
27,9,76329,0.00398275884657208
27,10,9212,0.0271385149804603
27,11,5930,0.0381112984822934
27,12,2175,NA
28,-13,2260,0.00707964601769911
28,-12,16075,0.0016796267496112
28,-11,186358,0.00457184558752509
28,-10,307777,0.00434405429905419
28,-9,1671049,0.00675144774330375
28,-8,482951,0.00951235218479722
28,-7,1086982,0.0348681026916729
28,-6,240064,0.041043221807518
28,-5,205883,0.176284588819864
28,-4,34360,0.265832363213038
28,-3,30956,1.14643364775811
28,-2,3609,2.64477694652258
28,-1,3625,14.0830344827586
28,0,4603978,NA
28,1,3625,19.5613793103448
28,2,3609,4.95317262399557
28,3,30956,1.59225998190981
28,4,34360,0.461525029103609
28,5,205883,0.232646697396094
28,6,240064,0.072347374033591
28,7,1086982,0.0494184816307906
28,8,482951,0.0287358344842437
28,9,1671049,0.0120780419963747
28,10,307777,0.00625127933536294
28,11,186358,0.00547870228270318
28,12,16075,0.00497667185069984
28,13,2260,0.0278761061946903
